frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,6.690242e-02,-3.897736e+01,-1.411145e+01,-3.015792e-01,-1.993981e+01,-1.845689e+01,-2.082211e+00,-5.436569e-01,4.109653e+00,-1.269612e+01,-3.630135e+00,-4.664662e+00,7.145832e+00,-4.841970e+00,1.391143e+01,-3.585104e+00,-6.233113e+00,-4.874359e+00,-3.587858e+00,-4.129664e+00,-5.016249e+00,-4.420857e+00,-3.487618e+00,-2.668814e+00,4.215345e-01,5.588544e-01,7.332342e-01,1.104012e+00,1.365866e+00,1.578579e+00,1.660764e+00,2.281286e+00,0,2.103962e-01,8.407675e-03,1.468304e-01,-2.528830e-02,5.741562e-02,3.159384e-01,-5.758743e-01,-2.393108e+00,-8.565629e-01,7.839778e-01,2.303239e+00,2.280697e+00,3.953581e-01,-1.867154e+00,9.112791e-01,7.670568e-01,6.171466e-01,-1.319647e-02,1.695938e-01,7.892323e-03,-1.243046e-01,5.015163e-02,1.014599e-01,1.342638e-02,3.550887e-03,-1.092743e-02,-1.653495e-02,1.673834e-02,7.038939e-03,1.243395e-02,5.025089e-03,1.159705e-02,6.039309e-03,1.251673e+01,1.144777e-01,0,0,0,0,1.251673e+01,0,0,0
1,0.010000,9.058032e-02,-3.922560e+01,-1.427133e+01,1.772941e-01,-2.030238e+01,-2.126956e+01,-7.151105e+00,-7.246677e-01,6.224035e+00,-7.266519e+00,2.196208e+00,-1.903468e+00,3.636670e+00,-2.311010e+00,1.721334e+01,-1.819349e+00,-6.420201e+00,-4.513841e+00,-3.533076e+00,-4.470520e+00,-5.120117e+00,-4.275229e+00,-3.486443e+00,-2.719273e+00,3.992070e-01,5.230870e-01,7.496643e-01,1.119296e+00,1.408116e+00,1.593787e+00,1.697800e+00,2.282528e+00,0,4.269180e-01,1.616402e-02,8.865425e-01,6.540211e-01,-1.323869e-01,8.017561e-01,-1.728605e-01,-2.685427e+00,-3.258239e+00,-8.101091e-01,2.428122e+00,3.800000e+00,-7.540799e-01,-2.399292e+00,9.675786e-01,-2.730460e-01,-8.586594e-01,1.973918e-01,3.965006e-01,4.549146e-02,-2.700520e-03,2.552083e-01,1.719525e-01,5.769100e-02,4.701400e-02,-1.695428e-02,-1.886419e-02,3.054645e-02,4.997039e-03,1.644567e-02,7.848990e-03,3.271892e-02,5.187962e-02,3.129603e+01,1.519266e-01,0,0,0,0,3.130862e+01,0,0,0
2,0.020000,9.710184e-02,-3.811909e+01,-1.415794e+01,-2.539378e-01,-1.817883e+01,-1.992992e+01,-1.151331e+01,-4.735966e+00,6.972351e+00,-3.894719e+00,4.860178e+00,-4.068468e+00,-4.353592e-01,-1.551055e+00,1.609575e+01,-1.382248e+00,-6.205551e+00,-4.206649e+00,-3.575787e+00,-4.580759e+00,-4.713556e+00,-3.986371e+00,-3.421074e+00,-2.625830e+00,3.780611e-01,4.940633e-01,8.087109e-01,1.131564e+00,1.406911e+00,1.596100e+00,1.700232e+00,2.310862e+00,6.258367e+01,6.745238e-01,1.779364e-02,2.048384e+00,1.904707e+00,-4.886956e-01,1.193039e+00,8.486662e-01,-1.336658e+00,-6.065587e+00,-4.189221e+00,1.441978e+00,5.023668e+00,-1.019356e+00,-2.178736e+00,9.420161e-02,-1.635537e+00,-2.289629e+00,5.665057e-01,6.734838e-01,1.532236e-01,3.335958e-01,5.686662e-01,2.178511e-01,1.313453e-01,1.022442e-01,-2.239719e-02,-2.252689e-02,3.680415e-02,-1.406606e-02,-8.190965e-03,3.491247e-03,2.919103e-02,6.542609e-02,5.009398e+01,1.491662e-01,6.258367e+01,0,0,0,5.016254e+01,1.114723e-02,0,2.889553e-02
3,0.030000,1.326228e-01,-3.497379e+01,-1.081809e+01,-9.873345e-01,-1.681151e+01,-1.858467e+01,-1.079380e+01,-1.473870e+01,-1.372242e+00,-4.956204e+00,1.112471e+01,-8.733158e+00,-1.060031e+00,-1.649535e+00,1.145403e+01,-8.979829e+00,-5.259934e+00,-3.225711e+00,-3.366436e+00,-3.917619e+00,-3.891553e+00,-3.778337e+00,-3.232435e+00,-2.455236e+00,3.584998e-01,4.969290e-01,8.482282e-01,1.115221e+00,1.427572e+00,1.609063e+00,1.804625e+00,2.525896e+00,1.251883e+02,7.379653e-01,3.472586e-02,3.034948e+00,3.284558e+00,-7.380046e-01,6.216643e-01,1.053456e+00,9.808235e-01,-7.110835e+00,-7.864284e+00,-5.480420e-01,5.969472e+00,2.795308e-01,-1.498114e+00,-1.287110e+00,-2.479146e+00,-2.679904e+00,9.093060e-01,9.178326e-01,3.361414e-01,7.463434e-01,7.628105e-01,2.115120e-01,1.903159e-01,1.287096e-01,-2.411412e-02,-2.301608e-02,2.315359e-02,-4.512752e-02,-2.607241e-02,-4.867756e-03,2.360828e-02,6.716826e-02,5.014416e+01,9.404434e-02,1.252513e+02,0,0,0,5.029469e+01,1.786274e-02,9.321479e-03,4.953932e-02
4,0.040000,1.348494e-01,-3.086135e+01,-6.314535e+00,-2.162743e+00,-1.572004e+01,-1.555600e+01,-6.944152e+00,-2.386458e+01,-1.303831e+01,-6.641387e+00,1.702396e+01,-6.346597e+00,-1.399498e+00,-4.701700e+00,8.613396e+00,-1.145301e+01,-3.980717e+00,-2.151005e+00,-2.905060e+00,-2.738135e+00,-2.787200e+00,-3.580048e+00,-2.957895e+00,-2.289611e+00,3.299022e-01,4.592990e-01,8.679730e-01,1.035719e+00,1.315183e+00,1.588397e+00,1.753307e+00,2.486732e+00,1.878757e+02,8.007037e-01,3.955323e-02,3.202222e+00,3.477149e+00,-1.316587e+00,-9.784630e-01,-6.981211e-01,2.251644e+00,-4.761433e+00,-8.203871e+00,-1.977009e+00,6.376460e+00,2.796319e+00,-6.403263e-01,-2.317050e+00,-2.521932e+00,-1.596138e+00,8.850617e-01,9.723967e-01,5.365402e-01,9.689468e-01,6.544105e-01,2.258362e-01,2.335263e-01,1.320494e-01,-1.966697e-02,-2.543572e-02,-1.707566e-03,-6.749766e-02,-2.126169e-02,-7.158363e-03,2.409511e-02,4.666085e-02,3.143042e+01,4.321416e-02,1.881871e+02,5.573612e-02,0,1.444777e-01,3.161449e+01,1.844247e-02,1.511548e-02,5.563716e-02
5,0.050000,2.453359e-01,-2.767973e+01,-1.770250e+00,-2.558326e+00,-1.842345e+01,-1.818924e+01,-4.531565e+00,-2.671454e+01,-2.309205e+01,-8.633395e+00,2.596168e+01,6.332501e-01,-3.371830e+00,-7.171237e+00,8.558787e+00,-1.018349e+01,-2.986088e+00,-9.525003e-01,-2.187733e+00,-1.660114e+00,-2.269243e+00,-3.420831e+00,-2.766453e+00,-2.243834e+00,3.027159e-01,4.253888e-01,8.358012e-01,9.415812e-01,1.323617e+00,1.573300e+00,1.789304e+00,2.530434e+00,1.880748e+02,8.340498e-01,4.724086e-02,2.599065e+00,2.514068e+00,-1.562634e+00,-2.260541e+00,-2.750151e+00,2.047606e+00,-2.359093e-01,-5.902694e+00,-2.887642e+00,4.296679e+00,3.829377e+00,-4.101823e-01,-3.436749e+00,-2.834428e+00,3.467663e-01,6.067075e-01,7.551952e-01,5.957101e-01,8.961825e-01,3.329042e-01,2.506239e-01,2.432234e-01,1.107395e-01,-1.113245e-02,-2.158644e-02,-2.160226e-02,-7.211765e-02,-1.124172e-02,-1.210396e-02,1.004101e-02,-1.949773e-02,1.268846e+01,2.547880e-02,1.886718e+02,6.144562e-02,4.660739e-02,1.754578e-01,1.278789e+01,1.734808e-03,1.681538e-02,1.679360e-02
6,0.060000,2.385115e-01,-2.575501e+01,-1.296120e+00,-6.051375e+00,-2.226518e+01,-2.361825e+01,-3.386203e+00,-2.255521e+01,-2.318710e+01,-1.194117e+01,2.932399e+01,5.229919e+00,-2.481091e+00,-1.037545e+01,4.933715e+00,-8.761109e+00,-2.917166e+00,-4.812715e-01,-1.482438e+00,-8.647776e-01,-2.252659e+00,-3.035943e+00,-2.486434e+00,-2.071284e+00,3.076182e-01,4.026549e-01,8.063865e-01,8.808956e-01,1.352579e+00,1.578190e+00,1.828368e+00,2.541897e+00,1.882925e+02,8.425524e-01,3.219201e-02,1.717202e+00,1.262530e+00,-1.229300e+00,-2.967916e+00,-4.410590e+00,1.515393e+00,3.800330e+00,-2.866612e+00,-3.341067e+00,1.529902e+00,2.751334e+00,9.588692e-01,-3.559169e+00,-3.307919e+00,2.738724e-01,2.648372e-01,4.738611e-01,5.338303e-01,6.506426e-01,-4.214320e-02,2.319816e-01,2.313823e-01,8.958597e-02,6.947696e-04,-3.192469e-03,-3.030559e-02,-5.062715e-02,1.733932e-02,4.626894e-03,5.037758e-02,-2.522187e-02,1.416748e-01,9.506011e-03,1.889458e+02,6.148954e-02,5.227372e-02,1.904569e-01,5.151520e-02,-1.651569e-02,3.569789e-03,-3.221032e-02
7,0.070000,3.169961e-01,-2.453163e+01,-7.569581e-01,-6.856188e+00,-2.484165e+01,-2.830430e+01,-2.334746e+00,-1.657293e+01,-2.581132e+01,-1.674452e+01,2.645808e+01,4.625468e+00,-2.570146e+00,-1.599640e+01,-8.782671e-01,-8.591947e+00,-2.758173e+00,-2.846017e-01,-1.099197e+00,-3.733850e-01,-2.494303e+00,-2.797270e+00,-2.252049e+00,-2.010702e+00,3.139795e-01,4.173188e-01,7.710101e-01,8.320444e-01,1.352665e+00,1.553647e+00,1.817299e+00,2.400825e+00,1.884222e+02,8.444349e-01,-1.377182e-03,1.017898e+00,4.882845e-01,-6.202481e-01,-2.617339e+00,-4.045902e+00,1.417434e+00,5.681878e+00,-9.103826e-01,-2.598532e+00,-1.445160e+00,1.498528e+00,2.309544e+00,-2.854433e+00,-3.383167e+00,7.474642e-02,5.700197e-02,2.196013e-01,4.000585e-01,3.994872e-01,-2.020116e-01,1.569523e-01,1.979377e-01,5.245322e-02,9.343171e-03,1.012766e-02,-2.626934e-02,-2.670709e-02,9.522605e-03,1.234008e-02,5.538851e-02,-3.467388e-02,4.242401e-02,8.472204e-04,1.888113e+02,5.797334e-03,5.794005e-02,6.097835e-02,-2.553009e-01,-1.813921e-02,-1.186167e-02,-4.067544e-02
8,0.080000,2.599793e-01,-2.384939e+01,-5.085328e-01,-6.160310e+00,-2.735052e+01,-3.255142e+01,-4.655987e-01,-9.933730e+00,-2.601174e+01,-1.929116e+01,2.442526e+01,5.413963e+00,2.994005e+00,-1.808496e+01,-3.207672e+00,-1.087942e+01,-2.770489e+00,-1.156482e-01,-7.801767e-01,-1.282865e-01,-2.885386e+00,-2.731920e+00,-2.058186e+00,-1.958248e+00,3.277442e-01,4.473716e-01,7.488406e-01,8.373520e-01,1.387356e+00,1.621358e+00,1.991197e+00,2.425427e+00,1.884104e+02,8.430412e-01,7.295094e-03,5.632570e-01,4.577188e-01,2.983473e-01,-1.711785e+00,-2.121707e+00,1.345294e+00,5.207773e+00,-3.055429e-01,-1.498478e+00,-1.872896e+00,1.017810e+00,2.437878e+00,-1.407473e+00,-2.072628e+00,5.276804e-01,2.362072e-02,8.467625e-02,2.389372e-01,2.063285e-01,-1.726011e-01,5.780470e-02,1.107830e-01,1.387763e-03,9.465653e-03,2.446548e-02,-1.680475e-02,3.408790e-05,1.601641e-02,2.080729e-02,9.374876e-02,3.043849e-02,-1.186249e-01,-2.719498e-03,1.883749e+02,9.818320e-04,1.218261e-02,4.066578e-02,-6.017761e-01,-1.231869e-02,-1.492498e-02,-2.588021e-02
9,0.090000,2.277161e-01,-2.354305e+01,2.773788e-01,-5.605099e+00,-2.896747e+01,-3.395216e+01,1.095300e+00,-4.615889e+00,-2.623164e+01,-1.795106e+01,2.118524e+01,8.033868e+00,5.438341e+00,-1.758865e+01,-4.286352e+00,-8.750604e+00,-2.774416e+00,-3.730548e-02,-5.385711e-01,-3.092349e-02,-2.962938e+00,-2.788081e+00,-1.990888e+00,-2.038086e+00,3.393687e-01,4.536687e-01,7.332274e-01,8.298176e-01,1.353842e+00,1.613416e+00,1.984832e+00,2.415299e+00,1.882280e+02,8.380415e-01,1.703607e-02,2.423557e-01,3.463655e-01,1.310932e-01,-8.109139e-01,2.572065e-01,9.928816e-01,2.909921e+00,5.059414e-01,1.408724e-01,-1.145111e+00,5.552653e-01,1.039726e+00,5.442219e-01,-2.373843e-01,1.578317e+00,-1.452947e-03,-4.077112e-02,1.008144e-01,8.402079e-02,-8.596134e-03,1.708269e-03,1.549911e-02,-2.852119e-02,4.983425e-03,2.134060e-02,-6.422597e-03,8.553994e-03,3.030241e-03,5.460071e-03,6.340307e-02,5.921571e-02,-3.325531e-01,-6.668806e-03,1.876807e+02,1.003414e-03,7.344602e-03,4.697613e-02,-9.743255e-01,-5.125685e-04,-1.206250e-02,8.658847e-03
