frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,1.263908e-01,-3.950608e+01,-1.262274e+01,-1.908883e+00,-2.396704e+01,-2.258941e+01,-3.586367e-01,7.475718e+00,7.695257e+00,-8.074388e+00,2.156019e+00,-6.697742e+00,2.494969e+00,-8.277503e+00,7.326365e+00,-9.365117e+00,-6.610354e+00,-4.451559e+00,-3.211497e+00,-3.947330e+00,-5.331251e+00,-4.505622e+00,-3.612077e+00,-2.984184e+00,3.919844e-01,5.146814e-01,7.821078e-01,1.079961e+00,1.485024e+00,1.601303e+00,1.786221e+00,2.616008e+00,0,2.119403e-01,3.027661e-03,2.160454e-01,8.109923e-02,3.990061e-01,4.455347e-01,6.294592e-01,-3.152565e-01,-2.056701e+00,-1.151612e+00,-1.224573e+00,8.089203e-01,2.431266e-01,-7.787745e-02,-2.058351e-01,-1.198182e+00,-1.493102e+00,9.951329e-02,4.076953e-02,-8.991079e-02,3.527570e-03,5.665517e-02,3.089971e-02,-1.968141e-02,6.546090e-02,-4.314941e-03,4.522580e-03,-1.306090e-02,-1.011534e-02,-1.948540e-02,-3.641510e-03,-2.575296e-02,-6.736128e-02,0,1.051799e-01,0,0,0,0,0,0,0,0
1,0.010000,1.311493e-01,-3.933970e+01,-1.284306e+01,-5.828155e-01,-2.316529e+01,-2.229103e+01,-9.214485e-01,3.507019e+00,5.294824e+00,-1.197889e+01,5.009633e+00,-5.121905e+00,3.340559e+00,-8.673406e+00,3.479106e+00,-1.107800e+01,-6.486773e+00,-4.385769e+00,-3.461274e+00,-3.992210e+00,-5.370477e+00,-4.465087e+00,-3.668238e+00,-2.804303e+00,3.839278e-01,5.262699e-01,7.743871e-01,1.058010e+00,1.450173e+00,1.595770e+00,1.740859e+00,2.457271e+00,0,4.136705e-01,-9.753481e-04,8.241028e-01,5.847139e-02,-1.024606e+00,1.130333e+00,2.118387e+00,-3.040863e-01,-3.498595e+00,-2.019245e+00,-2.351163e-01,1.098554e+00,3.019857e-02,-3.730355e-01,1.069368e+00,-1.081071e+00,-2.744358e+00,1.420746e-01,7.526655e-02,-7.166477e-02,1.775144e-01,3.693945e-01,1.770184e-01,6.375916e-02,1.014072e-01,8.994222e-04,2.138438e-02,-4.908860e-04,-4.864073e-03,-1.118327e-02,8.842528e-03,5.834520e-03,-6.795645e-02,1.214670e+01,1.384160e-01,0,0,0,0,1.214670e+01,0,0,0
2,0.020000,1.391499e-01,-3.850904e+01,-1.210709e+01,-5.768861e-01,-2.214023e+01,-1.959130e+01,-1.653513e+00,-8.234376e-01,3.137412e+00,-1.224500e+01,4.773814e+00,-6.270028e+00,1.682787e+00,-9.108727e+00,3.259084e+00,-1.597419e+01,-6.174578e+00,-4.280606e+00,-3.536163e+00,-3.907252e+00,-5.028362e+00,-4.371391e+00,-3.682403e+00,-2.746819e+00,3.744380e-01,5.315000e-01,7.206637e-01,1.040360e+00,1.405023e+00,1.585862e+00,1.680137e+00,2.358570e+00,0,6.369749e-01,-1.815651e-03,1.847643e+00,1.412683e-01,-3.808334e+00,1.554700e+00,4.395548e+00,5.010746e-01,-3.865332e+00,-2.233960e+00,1.383373e+00,9.067175e-01,-7.276160e-01,-6.166843e-01,1.918941e+00,3.517266e-01,-3.416491e+00,1.695753e-01,8.446193e-02,1.041615e-01,4.885443e-01,8.357263e-01,3.993861e-01,2.055736e-01,1.105923e-01,1.681247e-02,3.948994e-02,1.666437e-02,1.940727e-03,-9.853113e-03,1.152331e-02,2.533358e-02,-3.155715e-02,3.035959e+01,1.380190e-01,0,0,0,0,3.033814e+01,0,0,0
3,0.030000,1.151346e-01,-3.588408e+01,-1.258821e+01,-7.697909e+00,-1.922877e+01,-1.349653e+01,-1.231630e+00,-5.867680e+00,-1.220449e-01,-7.164661e+00,6.339891e+00,-6.760606e+00,1.035883e+00,-2.515052e+00,3.954649e+00,-1.978237e+01,-6.117869e+00,-4.160702e+00,-3.407488e+00,-3.079797e+00,-3.635723e+00,-3.687646e+00,-3.258118e+00,-2.595830e+00,4.052547e-01,6.131940e-01,8.103755e-01,1.075441e+00,1.469109e+00,1.653236e+00,1.868435e+00,2.404945e+00,6.073349e+01,6.915033e-01,-4.299292e-03,3.184275e+00,3.030102e-01,-7.027080e+00,1.377199e+00,6.341533e+00,2.100678e+00,-2.970892e+00,-2.295974e+00,2.610190e+00,9.627012e-01,-1.114934e+00,1.540914e-01,2.653060e+00,1.680444e+00,-2.494467e+00,1.903763e-01,1.236430e-01,4.262948e-01,9.053591e-01,1.309624e+00,6.534041e-01,3.901382e-01,1.333482e-01,2.885122e-02,4.867499e-02,3.953404e-02,8.808601e-03,-8.785164e-03,5.759299e-03,4.743243e-02,2.377267e-02,4.857286e+01,9.427343e-02,6.073349e+01,0,0,0,4.855250e+01,0,0,0
4,0.040000,1.253200e-01,-3.199567e+01,-1.204382e+01,-1.739301e+01,-1.816179e+01,-5.008918e+00,2.301827e+00,-7.163595e+00,-7.661064e-01,-3.564637e+00,6.024477e+00,-9.516471e+00,5.638861e-01,-1.761977e+00,8.847226e+00,-2.209538e+01,-5.946929e+00,-4.141782e+00,-2.717583e+00,-1.960815e+00,-2.019997e+00,-2.897413e+00,-2.789268e+00,-2.535459e+00,4.653833e-01,6.686690e-01,8.474355e-01,1.080949e+00,1.426291e+00,1.630187e+00,1.849100e+00,2.484385e+00,1.214312e+02,7.631189e-01,-9.988177e-03,4.224485e+00,8.720242e-01,-8.384071e+00,1.461508e-01,6.239720e+00,2.751029e+00,-1.198734e+00,-2.364316e+00,3.396426e-01,1.065744e+00,-1.269458e+00,1.470484e+00,2.938477e+00,1.182505e+00,-3.205736e-01,3.230403e-01,2.474237e-01,7.842445e-01,1.186338e+00,1.438791e+00,8.077365e-01,4.696658e-01,1.621334e-01,3.555238e-02,3.595359e-02,4.266895e-02,5.812049e-04,-2.614812e-02,-1.145247e-02,1.049950e-02,3.449724e-02,4.857528e+01,5.349400e-02,1.213240e+02,0,0,0,4.858255e+01,6.780164e-05,0,2.647276e-02
5,0.050000,1.165678e-01,-2.667501e+01,-1.135964e+01,-2.731016e+01,-1.826851e+01,2.125442e+00,7.604273e+00,-8.177365e+00,-4.233288e+00,-3.268125e+00,9.197807e+00,-9.073353e+00,4.670467e+00,9.185214e-01,9.087256e+00,-2.048973e+01,-5.648715e+00,-3.836966e+00,-1.739090e+00,-4.386332e-01,-3.265399e-01,-1.935056e+00,-2.164114e+00,-2.243243e+00,4.827112e-01,7.010604e-01,9.086714e-01,1.081759e+00,1.395613e+00,1.602404e+00,1.893539e+00,2.513227e+00,1.821487e+02,8.219657e-01,1.506970e-02,4.425095e+00,1.504403e+00,-7.221721e+00,-9.800712e-01,4.294282e+00,2.089720e+00,1.005281e+00,-2.013010e+00,-2.900561e+00,8.354412e-01,-1.401954e+00,1.932748e+00,3.104375e+00,-1.723386e-01,1.151046e+00,4.980451e-01,3.798783e-01,9.896188e-01,1.169658e+00,1.193222e+00,8.093335e-01,4.942508e-01,1.676906e-01,3.010270e-02,7.307702e-03,2.099853e-02,-1.103377e-02,-3.245337e-02,-2.088900e-02,-3.385668e-02,2.633958e-02,3.038648e+01,3.904326e-02,1.821005e+02,0,0,0,3.048022e+01,7.879409e-04,4.092107e-04,4.339515e-02
6,0.060000,8.849237e-02,-2.199115e+01,-8.361256e+00,-3.269112e+01,-2.188961e+01,3.796317e+00,7.683680e+00,-5.662262e+00,-6.628543e+00,-1.249506e+01,8.673576e+00,-1.146095e+01,7.217913e+00,3.866872e+00,6.605307e+00,-1.722337e+01,-4.793953e+00,-3.205355e+00,-4.491390e-01,7.038579e-01,5.109990e-01,-1.209004e+00,-1.881076e+00,-2.112446e+00,5.134716e-01,6.673348e-01,8.848605e-01,1.040107e+00,1.311030e+00,1.554016e+00,1.720082e+00,2.476916e+00,1.821688e+02,8.392137e-01,4.013092e-02,3.783275e+00,1.561690e+00,-4.832987e+00,-1.376791e+00,1.199234e+00,5.962748e-02,2.039314e+00,-7.970335e-01,-5.196193e+00,1.426036e-01,-1.520816e+00,1.275210e+00,3.924751e+00,-1.731242e+00,1.486233e+00,5.697588e-01,4.601184e-01,9.384598e-01,9.066436e-01,7.748744e-01,7.142857e-01,4.740413e-01,1.857875e-01,2.902744e-02,-8.100092e-03,1.350226e-02,-1.161746e-02,-1.581731e-02,-2.173340e-03,-3.586626e-02,1.917193e-02,1.224285e+01,2.017416e-02,1.822292e+02,3.390082e-04,0,1.323638e-01,1.247213e+01,1.202156e-03,1.433842e-03,5.410877e-02
7,0.070000,2.088968e-01,-1.876087e+01,-6.907480e+00,-3.615746e+01,-2.226522e+01,3.572266e+00,6.526045e+00,-1.591943e+00,-7.255877e+00,-1.720226e+01,9.192548e+00,-1.279814e+01,7.372612e+00,1.019240e+01,4.213915e+00,-1.646315e+01,-4.204132e+00,-2.729524e+00,4.063840e-01,1.436158e+00,1.064889e+00,-4.851824e-01,-1.240960e+00,-1.968883e+00,5.317240e-01,6.503996e-01,8.966556e-01,1.040694e+00,1.364472e+00,1.586877e+00,1.763661e+00,2.540377e+00,1.822971e+02,8.486722e-01,6.971750e-02,2.575343e+00,1.189135e+00,-2.555856e+00,-1.288163e+00,-1.200451e+00,-2.103080e+00,2.484314e+00,1.543863e+00,-4.898776e+00,-1.085745e+00,-1.845773e+00,-5.441922e-01,3.523840e+00,-1.445804e+00,1.077984e+00,4.875934e-01,4.221644e-01,7.054051e-01,5.037853e-01,3.635164e-01,5.482495e-01,3.972493e-01,1.503067e-01,2.410289e-02,-1.397114e-02,8.684516e-04,-5.433870e-03,-1.011127e-02,1.215013e-02,-3.540748e-02,-2.142642e-02,2.241013e-01,5.826598e-03,1.826820e+02,3.770200e-03,2.046054e-03,1.507939e-01,6.079483e-01,1.588404e-03,2.040643e-03,2.132417e-02
8,0.080000,2.798101e-01,-1.703637e+01,-6.461454e+00,-3.713429e+01,-2.304740e+01,2.638386e-01,3.139079e+00,-2.597373e-01,-3.239980e+00,-2.257854e+01,6.740125e+00,-1.525816e+01,5.588864e+00,1.322484e+01,2.627687e+00,-1.667751e+01,-3.820428e+00,-2.394911e+00,9.019793e-01,1.635007e+00,1.158661e+00,-5.092122e-02,-8.806394e-01,-1.743701e+00,5.860140e-01,6.534989e-01,9.209547e-01,1.043395e+00,1.362775e+00,1.627084e+00,1.734708e+00,2.566669e+00,1.825713e+02,8.506365e-01,4.271341e-02,1.616616e+00,6.211588e-01,-1.210950e+00,-9.621916e-01,-2.197158e+00,-3.142149e+00,1.070203e+00,3.419944e+00,-1.910729e+00,-1.937503e+00,-2.292494e+00,-1.509995e+00,1.900023e+00,-4.796785e-01,1.274181e+00,3.243027e-01,3.677486e-01,4.234518e-01,1.856410e-01,1.857558e-01,3.661431e-01,2.793505e-01,1.368223e-01,6.158674e-03,-1.133783e-02,-3.691047e-03,3.815484e-03,-2.144713e-02,1.200298e-02,-1.423347e-02,-8.508670e-02,4.189819e-01,-5.378723e-04,1.833939e+02,4.125681e-03,6.146184e-03,1.951469e-01,1.003613e+00,1.138290e-03,1.526989e-03,-1.602371e-02
9,0.090000,3.694965e-01,-1.627569e+01,-6.363863e+00,-3.786785e+01,-2.413044e+01,-2.110575e+00,-6.388275e-01,1.542941e+00,1.791746e+00,-2.272027e+01,4.735807e+00,-1.640361e+01,2.764030e+00,1.385874e+01,3.847048e+00,-1.537274e+01,-3.697512e+00,-2.131366e+00,1.112377e+00,1.614719e+00,1.167211e+00,2.271504e-01,-6.780860e-01,-1.676082e+00,5.669544e-01,6.381226e-01,8.949665e-01,1.052946e+00,1.319184e+00,1.626621e+00,1.709189e+00,2.361217e+00,1.830679e+02,8.453873e-01,-1.808843e-02,1.113976e+00,6.910427e-01,-6.367550e-01,-4.851589e-01,-2.002072e+00,-3.917316e+00,-7.440544e-01,4.846713e+00,9.062365e-01,-2.379583e+00,-2.747209e+00,-1.601206e+00,-4.093806e-01,1.395917e-01,3.070868e+00,2.509624e-01,3.733621e-01,2.449560e-01,-1.627643e-02,1.619777e-01,2.608688e-01,9.197985e-02,8.862223e-02,-1.373082e-02,-1.210500e-02,-8.384233e-03,7.859635e-03,-3.983129e-02,-5.124056e-03,-5.583751e-03,-1.197362e-01,6.757202e-01,-5.449980e-03,1.845579e+02,6.048683e-03,7.130122e-03,7.522928e-02,1.445932e+00,1.114892e-03,1.084657e-04,-2.305647e-02
