frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,1.370960e-01,-3.797527e+01,-1.218285e+01,2.190106e+00,-1.624749e+01,-1.523006e+01,-9.210051e-01,-7.361408e+00,1.765326e-01,-1.264489e+01,3.749619e+00,-1.032640e+01,9.459623e-01,-1.171318e+00,1.731421e+01,-1.405861e+01,-5.483610e+00,-4.580646e+00,-3.882273e+00,-4.370565e+00,-4.801639e+00,-4.138954e+00,-3.383905e+00,-2.554469e+00,3.688162e-01,5.433353e-01,7.874951e-01,1.067691e+00,1.393725e+00,1.635888e+00,1.744551e+00,2.425816e+00,0,2.156230e-01,-1.628042e-02,-1.307728e-01,-1.001363e+00,-1.191432e-01,-7.451584e-01,-2.883334e+00,-2.439785e+00,-3.144769e-01,-6.635958e-01,-3.698708e-01,-1.228384e+00,1.681507e+00,1.808442e+00,-1.494913e+00,1.105587e+00,1.068082e+00,-7.059102e-02,7.977162e-02,8.370876e-05,-6.835632e-02,-1.192516e-01,4.446542e-02,1.757243e-01,7.670417e-02,-3.148824e-03,-7.575762e-03,-4.303390e-03,1.993332e-02,1.923445e-02,-4.257619e-03,1.817539e-02,1.263101e-02,0,1.096069e-01,0,0,0,0,0,0,0,0
1,0.010000,9.325290e-02,-3.852562e+01,-1.440925e+01,1.393683e+00,-1.745143e+01,-2.203427e+01,-7.448347e+00,-7.052038e+00,-1.452394e+00,-1.578458e+01,9.995677e-01,-7.967514e+00,3.305084e+00,-3.769615e+00,2.073222e+01,-1.244457e+01,-5.655195e+00,-4.475853e+00,-3.879428e+00,-4.568418e+00,-5.130499e+00,-3.903668e+00,-3.041815e+00,-2.468963e+00,3.677051e-01,5.310912e-01,7.642059e-01,1.121316e+00,1.427688e+00,1.629424e+00,1.737474e+00,2.401307e+00,0,4.323339e-01,-8.602750e-03,1.713219e-02,-9.964366e-01,1.831580e-02,-1.284880e+00,-3.720398e+00,-2.909493e+00,2.415207e-01,-7.701305e-02,-6.170254e-02,-1.916247e+00,9.445354e-01,9.453694e-01,-2.136114e+00,4.517742e-01,8.723245e-01,-7.713427e-02,1.327997e-01,1.071589e-01,-5.920572e-02,-1.412126e-01,5.722928e-02,2.015062e-01,1.027916e-01,-8.146703e-04,-1.191587e-02,-7.191867e-03,2.497666e-02,2.986014e-02,-5.818498e-03,3.431506e-02,2.520692e-02,0,1.316027e-01,0,0,0,0,0,0,0,0
2,0.020000,7.761548e-02,-3.835396e+01,-1.607646e+01,1.992601e+00,-1.937131e+01,-2.624463e+01,-9.856262e+00,-9.088477e+00,-2.326983e+00,-1.292440e+01,-1.017276e+00,-3.098298e+00,8.808611e+00,-7.346733e+00,2.113314e+01,-9.525210e+00,-5.750773e+00,-4.234184e+00,-3.883277e+00,-4.613420e+00,-5.233467e+00,-4.034269e+00,-2.676329e+00,-2.213701e+00,3.536276e-01,5.115785e-01,7.776227e-01,1.140545e+00,1.472916e+00,1.617832e+00,1.838967e+00,2.501225e+00,0,6.553020e-01,4.263883e-03,4.935120e-01,-5.931786e-01,-6.357080e-01,-1.355268e+00,-2.581004e+00,-2.125184e+00,3.031172e-01,7.698840e-01,1.584865e+00,-1.188211e+00,-7.434566e-01,-6.719738e-01,-1.503857e+00,-1.050749e+00,2.985638e-01,-7.685556e-02,1.714980e-01,2.246211e-01,5.293250e-02,4.806018e-02,8.092988e-02,1.565398e-01,1.018079e-01,3.625390e-03,-1.345680e-02,-2.014726e-03,1.372690e-02,3.532245e-02,-3.190815e-03,4.610679e-02,4.367976e-02,0,1.117524e-01,0,0,0,0,0,0,0,0
3,0.030000,1.238226e-01,-3.770027e+01,-1.521823e+01,2.380437e+00,-2.110998e+01,-2.832477e+01,-1.100084e+01,-5.290269e+00,1.043225e+00,-1.281365e+01,-3.448169e+00,-9.217767e+00,1.741485e+00,-8.764179e+00,1.766361e+01,-1.196368e+01,-5.735700e+00,-4.089879e+00,-3.345976e+00,-4.545166e+00,-5.291788e+00,-3.905149e+00,-2.730162e+00,-2.210895e+00,3.723371e-01,4.996343e-01,7.564719e-01,1.156147e+00,1.503430e+00,1.615824e+00,1.868919e+00,2.514146e+00,0,6.537970e-01,2.264898e-02,1.323743e+00,1.367154e-01,-3.005094e+00,-5.687817e-01,7.878383e-01,-4.110189e-01,7.680636e-01,1.142814e+00,3.026951e+00,9.338543e-01,-3.416059e+00,-2.803489e+00,3.035726e-01,-2.792064e+00,-8.698661e-01,-6.926994e-02,1.566246e-01,3.445947e-01,3.381812e-01,4.857731e-01,2.434761e-01,8.690973e-02,2.064929e-02,1.445793e-02,4.795843e-03,1.587097e-02,-5.963481e-03,2.407087e-02,-2.715635e-03,4.207138e-02,4.693763e-02,1.180349e+01,5.543487e-02,0,0,0,0,1.180349e+01,0,0,0
4,0.040000,1.431306e-01,-3.592039e+01,-1.474426e+01,-1.481811e+00,-2.119455e+01,-2.498983e+01,-9.770679e+00,-6.726706e+00,2.778143e+00,-6.206028e+00,3.243335e-02,-1.341855e+01,-1.632107e+00,-6.193321e+00,1.359476e+01,-1.280623e+01,-5.827635e+00,-3.916144e+00,-3.025893e+00,-4.117528e+00,-4.480693e+00,-3.733564e+00,-2.757033e+00,-2.174464e+00,3.846271e-01,4.917797e-01,7.812884e-01,1.118910e+00,1.532466e+00,1.626734e+00,1.909363e+00,2.587795e+00,0,6.636534e-01,2.161714e-02,2.268159e+00,6.703431e-01,-6.387378e+00,-8.874283e-02,4.273358e+00,1.077597e+00,4.066134e-01,-1.330341e-01,1.935092e+00,2.858449e+00,-3.973384e+00,-2.871253e+00,2.514828e+00,-2.940418e+00,-1.320207e+00,-1.425810e-02,1.318716e-01,4.363307e-01,7.396187e-01,9.783403e-01,4.898795e-01,8.437479e-02,-4.786737e-02,2.731975e-02,3.065557e-02,3.004131e-02,-2.218983e-02,-2.914059e-03,-6.281841e-03,1.191330e-03,2.225881e-02,2.952030e+01,2.671094e-02,0,0,0,0,2.955503e+01,0,0,0
5,0.050000,1.737402e-01,-3.312370e+01,-1.439178e+01,-1.189458e+01,-1.938372e+01,-1.872248e+01,-9.546233e+00,-4.392605e+00,1.709115e+00,-4.009007e+00,5.143984e+00,-1.988768e+01,-5.492003e+00,-2.828458e+00,1.054109e+01,-1.515339e+01,-5.963113e+00,-3.851751e+00,-2.585146e+00,-3.125458e+00,-3.078020e+00,-2.836641e+00,-2.566915e+00,-2.385335e+00,4.244950e-01,5.649698e-01,8.417279e-01,1.102316e+00,1.518267e+00,1.611395e+00,1.912633e+00,2.592710e+00,5.901744e+01,7.053326e-01,1.413798e-02,3.224981e+00,1.143632e+00,-8.644930e+00,-1.034914e-01,7.120130e+00,3.163221e+00,-3.570758e-01,-1.896016e+00,-3.315926e-03,3.245871e+00,-1.262517e+00,1.480114e-02,3.053846e+00,-1.883213e+00,-1.204462e+00,1.268556e-01,1.508438e-01,5.287520e-01,1.140051e+00,1.335327e+00,6.423119e-01,1.711051e-01,-3.400464e-02,3.921997e-02,5.327114e-02,4.705591e-02,-3.087133e-02,-2.974901e-02,-1.326168e-02,3.461850e-03,2.412190e-02,4.725066e+01,4.144360e-02,5.901744e+01,0,0,0,4.732603e+01,0,0,0
6,0.060000,1.607424e-01,-2.930145e+01,-1.313797e+01,-2.280678e+01,-2.067816e+01,-9.678981e+00,-5.195583e+00,-7.504242e+00,-3.325098e+00,-7.651257e+00,8.978892e+00,-1.763026e+01,-1.930908e+00,2.259546e+00,9.992311e+00,-1.453139e+01,-5.708357e+00,-3.693890e+00,-2.082038e+00,-1.625181e+00,-1.448649e+00,-2.119126e+00,-2.336079e+00,-2.365818e+00,4.641474e-01,6.321886e-01,8.852013e-01,1.056511e+00,1.450927e+00,1.588637e+00,1.823067e+00,2.573236e+00,1.180928e+02,7.630889e-01,7.435098e-03,3.761263e+00,1.799084e+00,-7.868886e+00,-7.990271e-01,7.409291e+00,4.673142e+00,-5.717633e-01,-2.331874e+00,-3.039342e+00,1.697394e+00,1.876068e+00,1.717071e+00,2.915019e+00,-8.795692e-01,-1.513306e+00,3.445429e-01,2.274503e-01,6.901492e-01,1.291366e+00,1.287599e+00,6.493453e-01,2.168783e-01,6.057844e-02,4.507291e-02,5.110946e-02,3.371259e-02,-2.786065e-02,-5.506819e-02,-1.576176e-02,-1.388131e-02,-3.547215e-03,4.729032e+01,4.321288e-02,1.182664e+02,0,0,0,4.740932e+01,0,0,0
7,0.070000,1.857066e-01,-2.488483e+01,-1.030321e+01,-3.018173e+01,-2.188564e+01,-3.795466e-01,2.527715e+00,-6.686880e+00,-5.385233e+00,-1.210761e+01,8.307956e+00,-1.342450e+01,1.964891e+00,2.278617e+00,1.004877e+01,-1.712341e+01,-5.161061e+00,-3.446786e+00,-1.174144e+00,-9.108567e-02,-1.311727e-01,-1.500809e+00,-2.085114e+00,-2.285241e+00,5.286768e-01,6.957855e-01,9.397951e-01,1.032990e+00,1.395455e+00,1.568564e+00,1.929376e+00,2.642035e+00,1.772069e+02,8.112972e-01,2.074834e-02,3.717365e+00,2.143620e+00,-4.849356e+00,-1.067592e+00,6.194226e+00,5.244311e+00,-2.294746e-01,-1.436982e+00,-3.749926e+00,-1.001713e-01,3.100085e+00,2.048800e+00,2.150273e+00,-8.068057e-01,-1.977845e+00,4.979818e-01,2.893757e-01,7.485027e-01,1.127734e+00,9.888166e-01,5.032753e-01,2.451584e-01,1.754088e-01,4.046712e-02,2.809265e-02,1.576742e-02,-1.908359e-02,-4.342123e-02,-1.121736e-03,1.673820e-02,-6.105304e-03,2.962271e+01,3.269072e-02,1.774969e+02,0,0,0,2.973554e+01,0,0,0
8,0.080000,1.743229e-01,-2.123351e+01,-7.793120e+00,-3.168267e+01,-2.393873e+01,2.885158e+00,7.558061e+00,-8.438385e+00,-5.334055e+00,-1.735343e+01,6.937416e+00,-7.269804e+00,3.224800e+00,5.828234e+00,9.443074e+00,-1.938775e+01,-4.505947e+00,-2.981375e+00,-2.806481e-01,8.221155e-01,4.838762e-01,-1.154753e+00,-1.913541e+00,-1.921618e+00,5.579007e-01,6.819191e-01,9.008178e-01,1.014270e+00,1.318531e+00,1.569341e+00,1.831585e+00,2.545397e+00,1.773569e+02,8.267355e-01,5.563548e-02,3.037456e+00,1.962148e+00,-1.929721e+00,-8.293167e-01,3.254728e+00,3.562954e+00,4.829201e-01,2.066168e-01,-2.456021e+00,-1.195863e+00,1.519773e+00,9.839298e-01,1.500995e+00,-1.364287e+00,-1.605086e+00,4.973062e-01,3.334840e-01,6.732802e-01,7.444547e-01,5.994262e-01,3.509306e-01,2.332871e-01,2.090401e-01,2.360252e-02,4.226357e-03,-5.345857e-03,-8.233273e-03,-3.813369e-02,-1.021719e-03,9.308350e-03,-4.513838e-02,1.194270e+01,1.866006e-02,1.778069e+02,0,0,0,1.201838e+01,5.222813e-04,0,6.883610e-03
9,0.090000,2.706917e-01,-1.857084e+01,-6.346102e+00,-3.170341e+01,-2.309139e+01,5.966583e+00,1.029850e+01,-5.072907e+00,-4.471315e+00,-1.790755e+01,5.663866e+00,-9.567489e+00,2.174141e+00,6.138563e+00,6.781675e+00,-2.261443e+01,-4.074409e+00,-2.761130e+00,2.566724e-01,1.289562e+00,8.998006e-01,-8.024507e-01,-1.552391e+00,-1.730391e+00,5.799539e-01,6.805678e-01,9.127567e-01,1.028019e+00,1.367359e+00,1.615434e+00,1.992065e+00,2.576103e+00,1.774989e+02,8.369629e-01,1.116966e-01,2.041084e+00,1.519226e+00,-4.745476e-01,-8.110344e-01,1.350935e-01,2.816429e-01,6.183606e-01,1.398834e+00,-1.140627e+00,-1.484625e+00,-9.622103e-01,4.726718e-01,1.191223e+00,-1.405648e+00,1.144512e-01,4.080675e-01,3.448440e-01,4.906419e-01,3.558392e-01,2.800347e-01,2.303691e-01,1.778045e-01,1.504195e-01,4.344106e-03,-1.294242e-02,-2.058396e-02,-4.889726e-04,-3.256337e-02,-8.410597e-03,-2.260724e-02,-8.606029e-02,1.689789e-01,7.927793e-03,1.779249e+02,0,0,0,2.582825e-01,1.305703e-03,0,1.720903e-02
