frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,2.466992e-01,-2.488966e+01,-1.847713e+00,-1.981302e+00,-1.448858e+01,-1.129552e+01,-1.285618e+01,-1.668432e+01,-2.091883e+00,-2.737814e+00,-2.662497e+00,-1.003779e+01,1.209881e+01,-1.675490e+01,-1.076773e+00,2.895129e+00,-2.747201e+00,-1.404646e+00,-1.711461e+00,-2.312637e+00,-2.186372e+00,-2.679115e+00,-2.468917e+00,-2.170594e+00,3.095929e-01,4.540505e-01,7.621834e-01,1.080025e+00,1.302469e+00,1.474711e+00,1.860591e+00,2.597982e+00,0,2.280388e-01,4.315790e-02,-9.502136e-01,-1.127199e+00,1.087689e+00,5.956461e-01,5.716791e-01,7.408479e-01,1.554693e+00,1.203884e+00,-5.233335e-01,3.973127e-01,1.836247e-01,-5.062281e-01,-3.811106e-01,-1.834353e+00,-3.579452e+00,-1.705948e-01,-2.656639e-01,-2.587609e-01,-1.988929e-01,-1.958626e-01,-1.136271e-01,-7.751610e-02,2.377028e-02,-1.232040e-03,1.350873e-02,1.908392e-02,9.721708e-03,1.648598e-02,1.729803e-02,1.916314e-02,5.188489e-03,0,1.113477e-01,0,0,0,0,0,0,0,0
1,0.010000,3.986854e-01,-2.667690e+01,-4.034873e+00,-1.606291e-01,-1.372581e+01,-8.846219e+00,-1.000930e+01,-1.326518e+01,8.204069e-01,-2.116360e+00,-1.522285e+00,-1.122010e+01,9.785014e+00,-1.835433e+01,-4.515999e+00,-5.629476e+00,-3.049557e+00,-1.986021e+00,-2.184020e+00,-2.659997e+00,-2.501329e+00,-2.936949e+00,-2.636230e+00,-2.133123e+00,3.050892e-01,4.760417e-01,7.967178e-01,1.086623e+00,1.311504e+00,1.507843e+00,1.845333e+00,2.588226e+00,0,4.451345e-01,2.853646e-02,-1.568576e+00,-1.863586e+00,2.174055e+00,5.271338e-01,-1.133159e+00,4.738183e-01,2.283697e+00,1.502878e+00,-1.633805e+00,1.069017e+00,1.615953e+00,4.744216e-01,4.383009e-01,-2.061726e+00,-4.203100e+00,-2.883183e-01,-3.260326e-01,-3.559364e-01,-3.283154e-01,-4.331431e-01,-2.073659e-01,-8.755188e-02,6.907637e-02,-6.885588e-04,1.271172e-02,1.967391e-02,1.722429e-02,3.726519e-02,3.709184e-02,4.376410e-02,1.198487e-02,0,1.344821e-01,0,0,0,0,0,0,0,0
2,0.020000,3.864956e-01,-2.874711e+01,-6.390125e+00,2.546806e+00,-1.189174e+01,-9.661775e+00,-1.057539e+01,-1.062042e+01,2.471391e+00,-5.665208e+00,-1.246040e+00,-8.528506e+00,1.072456e+01,-1.786074e+01,-8.528926e+00,-1.073983e+01,-3.448997e+00,-2.442278e+00,-2.768986e+00,-3.133422e+00,-3.008206e+00,-3.118334e+00,-2.772840e+00,-2.070478e+00,3.056846e-01,5.105985e-01,8.403358e-01,1.125334e+00,1.380381e+00,1.544636e+00,1.964035e+00,2.628803e+00,0,6.762297e-01,-3.145546e-03,-1.523387e+00,-1.561037e+00,2.221696e+00,-4.238883e-01,-3.372911e+00,-5.054315e-01,2.090892e+00,6.010938e-01,-3.140325e+00,2.144190e+00,4.937963e+00,1.861268e+00,1.217993e+00,-8.995686e-01,-2.085871e+00,-3.108362e-01,-1.499473e-01,-2.593962e-01,-2.306261e-01,-5.558766e-01,-2.103036e-01,-9.030811e-02,7.015204e-02,7.561028e-04,2.562031e-03,3.545523e-03,2.302384e-03,4.144968e-02,3.754833e-02,4.581162e-02,-2.941689e-02,0,1.113375e-01,0,0,0,0,0,0,0,0
3,0.030000,3.194833e-01,-3.080381e+01,-8.894437e+00,6.624920e+00,-1.315134e+01,-1.777819e+01,-1.162749e+01,-8.297778e+00,3.140872e+00,-9.443143e+00,1.974360e+00,-2.712664e+00,1.515804e+01,-1.401048e+01,-7.659326e+00,-1.130289e+01,-3.837894e+00,-2.515993e+00,-2.962380e+00,-3.543822e+00,-3.941170e+00,-3.496335e+00,-2.754714e+00,-1.875270e+00,3.081043e-01,4.893351e-01,8.214768e-01,1.143491e+00,1.449839e+00,1.625208e+00,2.027689e+00,2.642496e+00,0,6.763539e-01,-4.010480e-02,-5.982143e-01,-1.756181e-01,8.090798e-01,-2.512948e+00,-4.704389e+00,-9.311536e-01,8.040770e-01,-7.719889e-01,-3.719663e+00,3.414957e+00,8.428957e+00,2.860034e+00,1.956439e+00,1.334842e+00,1.693760e+00,-1.788506e-01,2.158539e-01,6.076314e-02,1.429061e-01,-4.410057e-01,-1.331085e-01,-8.746228e-02,4.079201e-02,2.507705e-03,-1.300062e-02,-2.265102e-02,-3.463414e-02,2.321395e-02,1.727551e-02,1.905258e-02,-5.996349e-02,0,-2.133924e-03,0,0,0,0,0,0,0,0
4,0.040000,2.705725e-01,-3.044314e+01,-7.223118e+00,5.734404e+00,-1.689526e+01,-2.369409e+01,-1.457424e+01,-8.713555e+00,-2.466466e-01,-1.477605e+01,6.310133e+00,1.039831e+01,1.871864e+01,-1.283687e+01,-4.002952e+00,-4.697517e+00,-3.907213e+00,-1.889396e+00,-2.619262e+00,-3.023855e+00,-4.245834e+00,-3.450940e+00,-2.861215e+00,-1.948760e+00,3.118659e-01,4.602139e-01,7.675316e-01,1.063102e+00,1.440550e+00,1.603770e+00,1.998471e+00,2.423763e+00,0,6.691166e-01,-2.845371e-02,-2.024931e-01,4.636353e-01,-6.409130e-01,-3.607411e+00,-3.544975e+00,1.524843e-01,7.763003e-01,-7.146642e-01,-2.579692e+00,3.984355e+00,7.884750e+00,2.328955e+00,2.733092e+00,2.449464e+00,3.027311e+00,-1.619499e-01,2.605748e-01,2.030073e-01,3.355091e-01,-2.791063e-01,-9.470835e-02,-1.222181e-01,-1.555796e-02,3.091645e-03,-1.549006e-02,-3.927482e-02,-6.730245e-02,-1.250617e-02,-7.893825e-03,-5.706265e-02,-9.850101e-02,0,-7.609152e-02,0,0,0,0,0,0,0,0
5,0.050000,2.561230e-01,-2.881995e+01,-4.496467e+00,2.290971e+00,-2.378879e+01,-2.535201e+01,-1.266564e+01,-1.019822e+01,-1.680519e+00,-1.615926e+01,1.177442e+01,2.146128e+01,2.008814e+01,-1.108408e+01,-1.047773e-01,-1.818312e-01,-3.714702e+00,-1.183192e+00,-1.955066e+00,-2.000250e+00,-4.087543e+00,-3.436188e+00,-3.029354e+00,-1.990022e+00,3.145371e-01,4.362309e-01,7.198648e-01,9.445682e-01,1.397490e+00,1.564653e+00,1.923378e+00,2.390929e+00,0,4.380214e-01,-3.304505e-02,-5.191944e-01,-1.635880e-02,-1.205523e+00,-2.662841e+00,-6.373852e-01,2.013355e+00,1.229017e+00,2.136340e-01,-7.125421e-01,2.346248e+00,3.318630e+00,8.304998e-01,3.479394e+00,2.300207e+00,2.237281e+00,-2.608569e-01,-6.217736e-02,5.885122e-02,2.008773e-01,-1.383614e-01,-1.113052e-01,-1.400493e-01,-5.711925e-02,2.128112e-03,3.859579e-04,-2.697894e-02,-5.508630e-02,-2.215707e-02,-2.176536e-02,-7.074199e-02,-4.149039e-02,0,-7.429532e-02,0,0,0,0,0,0,0,0
6,0.060000,2.759072e-01,-3.075150e+01,-6.270934e+00,1.509215e+00,-2.461007e+01,-2.359974e+01,-9.293891e+00,-5.788697e+00,1.308766e+00,-1.520561e+01,1.377571e+01,1.880827e+01,1.990429e+01,-5.658485e+00,-5.887826e-02,-1.163802e+00,-4.320343e+00,-1.805804e+00,-2.257606e+00,-2.227663e+00,-4.330551e+00,-3.621949e+00,-3.246611e+00,-2.090892e+00,3.179264e-01,4.597003e-01,6.947677e-01,8.882833e-01,1.344024e+00,1.535444e+00,1.730878e+00,2.262082e+00,0,4.149383e-01,-2.860483e-02,-1.772190e+00,-2.063565e+00,-2.860893e-01,-3.089045e-01,6.753569e-01,3.377451e+00,2.140938e+00,1.620169e+00,1.228991e+00,-1.024114e+00,-3.763951e+00,-1.107790e+00,4.523035e+00,2.069622e+00,-2.115600e-01,-5.209053e-01,-6.441436e-01,-2.809090e-01,-3.218989e-01,-2.214380e-01,-2.129369e-01,-6.494355e-02,-3.174133e-02,5.339989e-03,1.701460e-02,-4.154861e-04,-7.640064e-04,-4.778159e-03,-1.991558e-03,-5.385758e-02,3.178415e-02,0,-3.217372e-03,0,0,0,0,0,0,0,0
7,0.070000,1.515907e-01,-3.324560e+01,-9.452323e+00,2.709899e+00,-2.260814e+01,-2.101229e+01,-4.200893e+00,-3.615123e+00,3.431336e+00,-1.279107e+01,9.972810e+00,9.675502e+00,1.871771e+01,-2.026972e-01,1.869673e+00,-1.883343e+00,-4.935614e+00,-2.868676e+00,-2.848952e+00,-2.937532e+00,-4.590618e+00,-3.967356e+00,-3.262263e+00,-2.089800e+00,3.157146e-01,4.915217e-01,7.229640e-01,9.554694e-01,1.387316e+00,1.550544e+00,1.807776e+00,2.515885e+00,0,4.319665e-01,-2.868063e-02,-2.349719e+00,-3.201170e+00,5.925458e-01,1.432035e+00,3.953093e-01,2.385155e+00,2.549476e+00,2.509313e+00,1.727554e+00,-3.407702e+00,-8.150694e+00,-3.236255e+00,2.992950e+00,2.936314e+00,-1.108220e+00,-6.495754e-01,-9.141507e-01,-4.052950e-01,-7.072692e-01,-2.889055e-01,-2.058397e-01,1.429179e-02,-5.541134e-03,1.405638e-02,2.174055e-02,1.899512e-02,5.783094e-02,1.631749e-02,1.617011e-02,-1.780440e-02,3.821375e-02,0,7.046576e-02,0,0,0,0,0,0,0,0
8,0.080000,1.798145e-01,-3.709126e+01,-1.506302e+01,4.094493e+00,-1.903011e+01,-2.248717e+01,-1.919360e+00,-1.300414e+00,5.298270e+00,-1.031519e+01,2.090364e+00,-2.528556e+00,1.386491e+01,4.337618e+00,5.357932e+00,-4.904562e+00,-5.901283e+00,-4.267373e+00,-3.576864e+00,-4.164709e+00,-5.101487e+00,-4.250040e+00,-3.069479e+00,-2.057577e+00,3.379771e-01,5.176415e-01,7.639046e-01,1.053832e+00,1.421746e+00,1.600867e+00,1.786984e+00,2.520205e+00,0,6.560572e-01,-1.939328e-02,-1.736502e+00,-2.435831e+00,7.286341e-01,9.168590e-01,-1.250773e+00,9.497864e-01,2.007230e+00,2.061014e+00,1.044129e+00,-3.732551e+00,-7.429057e+00,-4.386528e+00,-3.406134e-01,3.801848e+00,-4.849518e-01,-4.735683e-01,-6.681193e-01,-1.879315e-01,-6.182088e-01,-2.638398e-01,-1.420122e-01,7.588263e-02,7.888103e-03,2.168621e-02,1.102860e-02,1.508887e-02,6.337882e-02,1.803071e-02,2.016721e-02,-1.248944e-03,-9.169507e-03,0,7.495894e-02,0,0,0,0,0,0,0,0
9,0.090000,1.607662e-01,-3.739867e+01,-1.610628e+01,3.961061e+00,-1.941859e+01,-2.393175e+01,-4.427125e+00,3.050170e-01,8.871293e+00,-9.966698e+00,5.785787e-01,-8.623775e+00,6.926559e+00,-1.117380e+00,1.186839e+01,-3.852551e+00,-6.172108e+00,-4.523161e+00,-3.321912e+00,-4.568072e+00,-5.146603e+00,-4.151341e+00,-3.046461e+00,-2.034384e+00,3.747937e-01,5.159630e-01,7.802720e-01,1.150949e+00,1.440216e+00,1.612792e+00,1.806303e+00,2.452936e+00,0,6.697907e-01,-2.826601e-04,-7.616901e-01,-8.213118e-01,5.472763e-01,4.961643e-02,-2.382125e+00,-3.581809e-01,2.409499e+00,1.418296e+00,2.278643e-02,-1.149464e+00,-3.658340e+00,-3.198478e+00,-3.172264e+00,2.703703e+00,1.456869e-01,-2.272968e-01,-2.250244e-01,5.411439e-02,-3.007190e-01,-2.265480e-01,-3.602209e-02,6.033425e-02,-2.478623e-02,2.144780e-02,-1.987445e-03,-8.195114e-03,3.142103e-02,-9.400844e-05,6.410289e-03,-3.365723e-02,-9.488674e-02,0,4.688505e-02,0,0,0,0,0,0,0,0
