frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,2.494054e-01,-3.657073e+01,-1.120585e+01,7.524893e-01,-2.096372e+01,-2.405191e+01,-5.887217e+00,2.152902e-01,7.358770e+00,-1.258454e+00,8.276997e+00,-1.705656e+01,-4.402979e+00,-1.466391e+01,7.343758e+00,-7.504035e+00,-5.742341e+00,-3.660350e+00,-2.721465e+00,-4.194870e+00,-4.756992e+00,-4.091357e+00,-3.240664e+00,-2.584124e+00,4.129759e-01,4.968081e-01,8.303948e-01,1.065140e+00,1.533954e+00,1.615261e+00,2.001909e+00,2.683018e+00,0,2.207690e-01,-2.113323e-02,-4.377327e-02,-4.423823e-01,4.009971e-01,3.614830e-01,1.143201e+00,1.146761e+00,2.059932e-01,-6.882307e-01,-1.541233e+00,-8.553807e-01,1.325749e+00,1.093610e+00,-3.472192e+00,-1.055391e+00,-6.782900e-01,7.146931e-03,-8.415885e-02,-1.530998e-01,4.511661e-02,-2.287240e-02,-4.649444e-02,3.345890e-02,5.928767e-02,-7.531682e-03,2.443063e-03,-8.405698e-03,-7.890439e-03,-2.721180e-02,-1.073995e-02,-5.956601e-02,-4.355574e-02,0,1.126202e-01,0,0,0,0,0,0,0,0
1,0.010000,1.956696e-01,-3.648415e+01,-1.266322e+01,1.092062e+00,-1.935845e+01,-2.249856e+01,-3.018757e+00,-1.947472e-01,4.574497e+00,-4.933595e+00,7.062172e+00,-1.467391e+01,-2.416883e+00,-2.336192e+01,4.493183e+00,-6.970039e+00,-5.728242e+00,-3.844968e+00,-3.078418e+00,-4.063787e+00,-4.741107e+00,-4.115467e+00,-3.042255e+00,-2.397173e+00,3.959982e-01,5.030830e-01,8.215510e-01,1.044140e+00,1.468258e+00,1.586597e+00,1.859984e+00,2.561136e+00,0,4.527346e-01,-2.969429e-02,-1.114841e-01,-2.984980e-01,3.915766e-01,-1.136169e-02,1.423845e+00,1.386603e+00,1.403321e-01,-8.627117e-01,-1.841715e+00,-1.499262e+00,2.109251e+00,1.119038e+00,-3.215329e+00,-7.627391e-01,-1.962579e+00,-4.717827e-04,-9.667258e-02,-1.694376e-01,7.062469e-02,-4.826703e-02,-7.875419e-02,1.698918e-02,3.700800e-02,-6.877252e-03,5.027169e-03,-1.424665e-02,-1.137872e-02,-2.721229e-02,-1.116606e-02,-7.231756e-02,-4.798570e-02,0,1.334079e-01,0,0,0,0,0,0,0,0
2,0.020000,1.706072e-01,-3.683289e+01,-1.268908e+01,2.587689e+00,-1.995893e+01,-1.911258e+01,-1.587641e+00,1.450275e+00,5.309753e+00,-7.127050e+00,4.607505e+00,-1.161915e+01,7.202143e-02,-2.767587e+01,3.492090e+00,-1.116248e+01,-5.713655e+00,-3.988835e+00,-3.308488e+00,-4.034828e+00,-4.879297e+00,-4.311775e+00,-3.172573e+00,-2.381161e+00,3.838064e-01,5.058859e-01,7.927882e-01,1.036187e+00,1.430743e+00,1.575894e+00,1.775042e+00,2.526181e+00,0,6.678872e-01,-2.251323e-02,-3.290138e-01,1.104328e-01,1.325977e-01,-4.082233e-01,1.037134e+00,4.573593e-01,-3.554402e-01,-3.715736e-01,-1.604694e+00,-1.884378e+00,2.271801e+00,9.994565e-01,-5.804243e-01,-4.188242e-01,-2.726446e+00,-2.084723e-02,-7.962374e-02,-1.410734e-01,1.922357e-02,-7.639913e-02,-9.775944e-02,-5.626171e-02,-3.104570e-02,-5.212650e-03,3.275329e-03,-1.557623e-02,-3.996086e-03,-1.841935e-02,-6.771243e-03,-5.161119e-02,-2.436202e-02,0,1.060337e-01,0,0,0,0,0,0,0,0
3,0.030000,1.403331e-01,-3.699707e+01,-1.195673e+01,1.792773e+00,-2.152292e+01,-1.940236e+01,-1.103988e+00,2.994584e-01,4.069720e+00,-7.532732e+00,2.615431e+00,-9.229017e+00,-1.045288e+00,-2.423458e+01,5.455896e+00,-1.548771e+01,-5.759042e+00,-3.979470e+00,-3.275141e+00,-3.921767e+00,-4.937175e+00,-4.374919e+00,-3.189763e+00,-2.500565e+00,3.931744e-01,5.174050e-01,7.779648e-01,1.022722e+00,1.449498e+00,1.579115e+00,1.753755e+00,2.521509e+00,0,6.642494e-01,-1.014310e-02,-4.155579e-01,3.834808e-01,-4.210886e-01,-5.851288e-01,-4.373003e-01,-1.508582e+00,-9.756962e-01,-3.668201e-01,-1.473084e+00,-1.224453e+00,1.666847e+00,2.765062e-01,2.889460e+00,-8.421660e-04,-2.513454e+00,-2.904191e-02,-4.021978e-03,-6.177156e-02,-4.839797e-02,-8.445301e-02,-1.827111e-02,-9.488483e-02,-9.310985e-02,-2.814186e-03,-1.651025e-03,-3.700215e-03,1.424820e-02,6.271231e-03,3.185809e-03,-2.662921e-03,1.445508e-02,0,3.690568e-02,0,0,0,0,0,0,0,0
4,0.040000,1.645075e-01,-3.795934e+01,-1.100694e+01,1.065122e+00,-2.192260e+01,-2.041434e+01,-4.557805e+00,-1.809013e+00,5.753290e+00,-7.982355e+00,1.078479e+00,-8.420003e+00,-9.149430e-02,-1.712971e+01,4.768280e+00,-1.687743e+01,-5.831177e+00,-3.991217e+00,-3.328470e+00,-4.169762e+00,-5.040954e+00,-4.450428e+00,-3.448218e+00,-2.687656e+00,3.883245e-01,5.060237e-01,7.743068e-01,1.055868e+00,1.451237e+00,1.585146e+00,1.796968e+00,2.581022e+00,0,6.451799e-01,-8.726403e-03,-4.485291e-01,1.257589e-01,-6.590083e-01,-2.615475e-01,-1.424934e+00,-2.707963e+00,-8.102726e-01,-5.580178e-01,-2.021119e+00,-4.109485e-01,5.301145e-01,-4.519002e-01,3.191709e+00,-1.517806e-01,-7.820077e-01,-3.681116e-02,1.441083e-02,-3.437410e-02,-9.578755e-02,-8.879242e-02,6.823740e-02,-9.660721e-02,-8.638728e-02,-2.396598e-03,-4.012942e-03,3.591013e-03,2.490177e-02,1.485566e-02,4.430699e-03,3.114594e-02,2.765546e-02,0,-4.318076e-03,0,0,0,0,0,0,0,0
5,0.050000,1.480040e-01,-3.799871e+01,-1.158689e+01,-2.520983e-01,-2.130226e+01,-2.403418e+01,-9.076584e+00,-3.443584e+00,2.518628e+00,-1.187136e+01,2.704422e+00,-7.939247e+00,-9.525941e-01,-1.418771e+01,3.850877e+00,-1.667984e+01,-5.814691e+00,-3.863887e+00,-3.377284e+00,-4.238310e+00,-5.082544e+00,-4.137496e+00,-3.378857e+00,-2.709475e+00,3.796681e-01,4.947590e-01,8.122907e-01,1.105541e+00,1.489367e+00,1.597900e+00,1.835706e+00,2.605991e+00,0,6.486166e-01,-1.260712e-02,-2.030552e-01,-2.007016e-01,2.116877e-01,-2.035820e-01,-7.254269e-01,-2.343619e+00,1.252379e+00,1.972195e-01,-2.010730e+00,-2.212464e-01,-4.832476e-01,-1.168098e+00,1.423702e+00,-2.843182e-01,1.074662e+00,6.517029e-03,2.836108e-03,2.434747e-02,-9.441452e-02,-1.064607e-01,9.376931e-02,-9.861638e-02,-1.747537e-02,-1.339409e-03,-4.615089e-03,4.598933e-03,2.879662e-02,1.588631e-02,4.316425e-03,4.231306e-02,3.046072e-02,0,4.166424e-04,0,0,0,0,0,0,0,0
6,0.060000,1.231398e-01,-3.857471e+01,-1.224520e+01,3.150829e-01,-2.137700e+01,-2.392134e+01,-1.114116e+01,-7.295671e-01,3.295210e+00,-1.506333e+01,2.508268e+00,-9.613461e+00,-2.233827e+00,-1.674076e+01,3.535697e+00,-1.447646e+01,-5.869886e+00,-3.974572e+00,-3.429287e+00,-4.355494e+00,-5.250575e+00,-4.089300e+00,-3.561062e+00,-2.708643e+00,3.785765e-01,4.971442e-01,7.935804e-01,1.119287e+00,1.485087e+00,1.588655e+00,1.889796e+00,2.622217e+00,0,6.541132e-01,-2.260788e-02,2.412933e-01,-5.760447e-01,1.416831e+00,-1.022373e+00,4.423132e-01,-1.352568e-01,3.340381e+00,1.581008e+00,-5.590174e-01,-8.169562e-01,-8.489619e-01,-1.248474e+00,7.936022e-01,-4.906379e-01,2.865269e+00,6.117535e-03,-3.525324e-02,1.390561e-01,-1.746416e-03,-1.023413e-01,1.640015e-02,-5.969503e-02,1.222702e-01,4.511309e-03,4.708886e-04,-8.329546e-03,7.439017e-03,6.115806e-03,-2.937317e-05,3.622096e-02,1.851232e-02,0,2.807867e-03,0,0,0,0,0,0,0,0
7,0.070000,9.798140e-02,-3.770466e+01,-1.234110e+01,3.226231e+00,-2.281363e+01,-2.127599e+01,-9.530409e+00,6.021629e+00,6.284857e+00,-1.404589e+01,7.943048e-01,-1.104853e+01,-5.814614e+00,-1.731054e+01,4.650597e+00,-1.131489e+01,-5.707102e+00,-3.973612e+00,-3.102996e+00,-4.300973e+00,-5.364668e+00,-4.086637e+00,-3.626423e+00,-2.577449e+00,3.913514e-01,4.987693e-01,7.913227e-01,1.134996e+00,1.512005e+00,1.598943e+00,1.918906e+00,2.653215e+00,0,6.618660e-01,-2.118575e-02,8.362980e-01,-1.017568e+00,2.356153e+00,-1.849382e+00,8.873262e-01,1.913928e+00,3.211713e+00,2.453065e+00,2.023402e+00,-2.001858e+00,-3.193010e-01,-5.985479e-01,2.189620e+00,-5.894985e-01,3.189905e+00,-5.822944e-03,-3.255696e-02,2.336034e-01,7.010818e-02,-3.036303e-02,-6.974840e-02,7.824099e-02,2.969901e-01,6.122842e-03,4.560560e-04,-2.505395e-02,-1.600373e-02,-1.990600e-02,-3.364849e-03,-1.197457e-03,-2.511241e-02,0,-1.739752e-03,0,0,0,0,0,0,0,0
8,0.080000,7.647942e-02,-3.689989e+01,-1.351005e+01,6.410112e+00,-2.627879e+01,-1.958187e+01,-5.007176e+00,1.016028e+01,1.177522e+01,-9.690175e+00,-2.051243e+00,-1.111017e+01,-3.902855e+00,-1.160028e+01,1.915231e+00,-5.233562e+00,-5.854383e+00,-4.112621e+00,-2.770334e+00,-4.147162e+00,-5.411598e+00,-4.393857e+00,-3.622910e+00,-2.142318e+00,4.050395e-01,5.063730e-01,7.431430e-01,1.078336e+00,1.470497e+00,1.584478e+00,1.936472e+00,2.649972e+00,0,6.525946e-01,-1.561797e-03,1.351385e+00,-1.912384e+00,2.413363e+00,-2.135187e+00,1.887077e-01,3.197019e+00,1.170313e+00,2.441226e+00,3.943437e+00,-2.695953e+00,8.001148e-01,8.504356e-01,3.949331e+00,-5.787361e-01,1.788232e+00,-7.234869e-02,-2.610230e-02,2.366161e-01,1.175561e-01,1.009953e-01,-6.305609e-02,3.267417e-01,4.860181e-01,5.468708e-03,-9.598791e-04,-1.951202e-02,-2.521932e-02,-3.190777e-02,-2.928615e-04,-3.371366e-02,-4.473524e-02,0,-7.348061e-03,0,0,0,0,0,0,0,0
9,0.090000,6.540539e-02,-3.465463e+01,-1.604231e+01,8.481153e+00,-2.809828e+01,-2.176728e+01,-2.573934e+00,7.170052e+00,1.054395e+01,-4.440928e+00,-5.025114e+00,-8.787396e+00,-3.110820e+00,-5.809844e+00,1.713617e+00,-5.351761e+00,-5.851557e+00,-3.957647e+00,-2.538744e+00,-3.991935e+00,-5.153847e+00,-4.333959e+00,-2.956728e+00,-1.507686e+00,3.970509e-01,4.924248e-01,7.122396e-01,1.045998e+00,1.397132e+00,1.583164e+00,1.806381e+00,2.466552e+00,0,6.406772e-01,2.468903e-02,1.366704e+00,-2.720942e+00,1.684493e+00,-5.135177e-01,-5.349091e-01,3.316047e+00,-1.016648e+00,1.565996e+00,4.893247e+00,-2.843645e+00,1.136270e+00,5.351005e-01,2.216598e+00,-2.591198e-01,-2.552537e-01,-1.082782e-01,-4.663596e-02,8.375094e-02,2.909274e-02,1.934785e-01,3.177509e-02,5.477940e-01,5.398979e-01,1.217049e-03,-1.788724e-03,-9.144682e-03,-1.189172e-02,-3.924657e-02,3.095746e-04,-6.592518e-02,-5.823278e-02,0,-1.202247e-02,0,0,0,0,0,0,0,0
