frameIndex,frameTime,pcm_loudness_sma,pcm_fftMag_mfcc_sma[0],pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_fftMag_mfcc_sma[13],pcm_fftMag_mfcc_sma[14],logMelFreqBand_sma[0],logMelFreqBand_sma[1],logMelFreqBand_sma[2],logMelFreqBand_sma[3],logMelFreqBand_sma[4],logMelFreqBand_sma[5],logMelFreqBand_sma[6],logMelFreqBand_sma[7],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],F0finEnv_sma,voicingFinalUnclipped_sma,pcm_loudness_sma_de,pcm_fftMag_mfcc_sma_de[0],pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_fftMag_mfcc_sma_de[13],pcm_fftMag_mfcc_sma_de[14],logMelFreqBand_sma_de[0],logMelFreqBand_sma_de[1],logMelFreqBand_sma_de[2],logMelFreqBand_sma_de[3],logMelFreqBand_sma_de[4],logMelFreqBand_sma_de[5],logMelFreqBand_sma_de[6],logMelFreqBand_sma_de[7],lspFreq_sma_de[0],lspFreq_sma_de[1],lspFreq_sma_de[2],lspFreq_sma_de[3],lspFreq_sma_de[4],lspFreq_sma_de[5],lspFreq_sma_de[6],lspFreq_sma_de[7],F0finEnv_sma_de,voicingFinalUnclipped_sma_de,F0final_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,F0final_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de
0,0.000000,2.009069e-01,-1.493284e+01,-5.740252e+00,-2.539276e+01,-2.598099e+01,-5.971416e+00,-9.549026e+00,-2.496606e+01,-9.715590e+00,5.113767e+00,-5.853895e+00,-3.559873e+01,3.924006e+00,-1.524724e+01,-2.090146e+01,-5.601068e+00,-2.018447e+00,-2.010371e-02,6.063011e-01,7.362638e-01,1.735445e+00,-5.512057e-01,-7.730603e-01,-1.251683e+00,4.158691e-01,5.751839e-01,9.090307e-01,1.076898e+00,1.178130e+00,1.531975e+00,2.095959e+00,2.663101e+00,0,2.670647e-01,4.860106e-02,-1.598448e+00,-2.821320e-01,1.574661e+00,2.575049e-01,-1.576551e+00,-9.039311e-01,-8.819759e-01,1.564377e+00,-1.401222e+00,-7.619095e-01,-1.091338e+00,-2.290272e+00,2.371987e+00,2.103946e+00,-8.337885e-01,-1.469267e-01,-2.664609e-01,-2.480084e-01,-4.104067e-01,-3.335980e-01,-3.030300e-01,-2.830673e-01,-5.205722e-02,-7.460707e-03,-1.797504e-02,-2.549698e-02,-9.144211e-03,-1.444403e-02,-4.153289e-02,-9.266509e-02,-1.668377e-01,0,1.080969e-01,0,0,0,0,0,0,0,0
1,0.010000,3.100851e-01,-1.712067e+01,-6.021971e+00,-2.372595e+01,-2.642261e+01,-9.037103e+00,-1.040819e+01,-2.784524e+01,-7.757324e+00,2.235104e+00,-8.347934e+00,-3.731848e+01,-4.385268e-01,-1.237731e+01,-1.859671e+01,-7.848692e+00,-2.168561e+00,-3.385340e-01,2.978958e-01,2.060961e-01,1.303443e+00,-1.023229e+00,-1.215983e+00,-1.290174e+00,4.041327e-01,5.400006e-01,8.549673e-01,1.049272e+00,1.147048e+00,1.406439e+00,1.908223e+00,2.313059e+00,0,4.866664e-01,4.354938e-02,-3.230147e+00,-4.806793e-01,4.017834e+00,1.180792e+00,-1.817523e+00,-5.676610e-01,8.837029e-01,3.487508e+00,-2.617455e+00,-9.932833e-01,-7.170258e-01,-3.343236e+00,3.639019e+00,4.930968e+00,-1.004144e+00,-3.360932e-01,-6.192979e-01,-5.231774e-01,-8.226903e-01,-7.878014e-01,-5.968734e-01,-5.255280e-01,-1.497267e-01,-8.370650e-03,-2.182328e-02,-2.815387e-02,-4.786134e-03,2.951169e-03,-3.211261e-02,-9.952297e-02,-1.939055e-01,0,1.174908e-01,0,0,0,0,0,0,0,0
2,0.020000,3.893231e-01,-2.183116e+01,-7.010052e+00,-1.835286e+01,-2.447265e+01,-1.232133e+01,-1.363910e+01,-2.793635e+01,-2.872840e+00,-4.530114e-01,-8.416423e+00,-4.019555e+01,-5.346090e+00,-4.822274e+00,-1.153411e+01,-8.646199e+00,-2.678023e+00,-1.193193e+00,-4.795385e-01,-1.050686e+00,2.834556e-01,-1.830344e+00,-1.966936e+00,-1.492724e+00,3.844338e-01,5.029004e-01,8.085775e-01,1.044990e+00,1.121451e+00,1.387078e+00,1.726502e+00,2.003933e+00,0,6.977482e-01,4.785505e-03,-4.508185e+00,-6.214287e-01,6.412274e+00,1.810906e+00,-1.785571e+00,2.836955e-01,4.359101e+00,4.944528e+00,-4.040243e+00,-4.513421e-01,2.075756e+00,-3.050346e+00,3.368058e+00,6.648119e+00,-4.097391e-01,-5.419198e-01,-9.000841e-01,-7.430685e-01,-1.093559e+00,-1.284446e+00,-7.985023e-01,-6.804281e-01,-2.503873e-01,-1.063293e-02,-1.680299e-02,-2.763534e-02,3.633058e-03,3.591142e-02,9.896147e-03,-5.888423e-02,-8.922219e-02,0,9.233002e-02,0,0,0,0,0,0,0,0
3,0.030000,3.244458e-01,-2.763441e+01,-7.508749e+00,-8.823545e+00,-2.083120e+01,-1.188408e+01,-1.034229e+01,-1.906240e+01,4.300577e+00,-5.190121e+00,-9.539047e+00,-3.688545e+01,-8.157125e+00,-2.264635e+00,-9.302962e-01,-9.099224e+00,-3.369125e+00,-2.530049e+00,-1.466666e+00,-2.483713e+00,-1.477568e+00,-2.896004e+00,-2.803762e+00,-1.879797e+00,3.897336e-01,5.022093e-01,8.184879e-01,1.068921e+00,1.221226e+00,1.443860e+00,1.783073e+00,2.023157e+00,0,6.391767e-01,-4.879897e-02,-4.486993e+00,-7.147663e-01,6.970876e+00,1.834011e+00,-1.193568e+00,2.250137e+00,8.061933e+00,5.078366e+00,-3.592116e+00,1.017666e+00,6.933431e+00,-8.136753e-01,1.408187e-01,5.394834e+00,-3.281976e-01,-6.852528e-01,-8.825507e-01,-7.533790e-01,-9.845228e-01,-1.496748e+00,-7.626883e-01,-5.865961e-01,-2.931335e-01,-1.223074e-02,-3.648669e-03,-1.890004e-02,1.003716e-02,7.906357e-02,5.580343e-02,1.632930e-02,1.062157e-01,0,3.109118e-02,0,0,0,0,0,0,0,0
4,0.040000,2.176542e-01,-3.221689e+01,-8.104007e+00,-7.825944e-01,-1.972216e+01,-1.347579e+01,-8.163497e+00,-7.561977e+00,8.978098e+00,-1.137484e+01,-7.515049e+00,-2.543646e+01,-7.468428e+00,-3.463296e+00,3.505930e+00,-7.024498e+00,-4.127764e+00,-3.424767e+00,-2.226760e+00,-3.386628e+00,-3.296277e+00,-3.607330e+00,-3.381311e+00,-2.208808e+00,3.699040e-01,5.100647e-01,7.890937e-01,1.085239e+00,1.320598e+00,1.562745e+00,1.864113e+00,2.361941e+00,0,6.524596e-01,-7.073829e-02,-3.283519e+00,-1.150837e+00,5.064232e+00,9.604946e-01,-1.461248e+00,3.375440e+00,8.575418e+00,4.205556e+00,-1.121242e+00,3.632766e+00,1.076647e+01,1.643054e+00,-3.487536e+00,2.071704e+00,-7.214732e-01,-7.720116e-01,-5.368605e-01,-5.641620e-01,-6.166505e-01,-1.282977e+00,-5.184779e-01,-2.986097e-01,-1.964007e-01,-1.737894e-02,1.085079e-03,-1.866922e-02,8.758080e-03,9.002154e-02,5.699434e-02,4.507386e-02,1.956274e-01,1.469892e+01,3.259736e-03,0,0,0,0,1.469892e+01,0,0,0
5,0.050000,1.519248e-01,-3.436277e+01,-9.048825e+00,2.343296e+00,-1.962780e+01,-1.442771e+01,-1.895309e+00,2.277233e+00,1.170904e+01,-1.026456e+01,-3.710289e+00,-1.003086e+01,-3.445735e+00,-1.235271e+01,8.574392e-01,-1.030053e+01,-4.869955e+00,-3.635501e+00,-2.595388e+00,-3.548547e+00,-4.390431e+00,-3.948178e+00,-3.441776e+00,-2.397799e+00,3.502439e-01,5.181751e-01,7.702090e-01,1.079333e+00,1.442792e+00,1.597623e+00,1.921064e+00,2.665134e+00,0,6.647666e-01,-4.791218e-02,-1.680592e+00,-1.637893e+00,2.060886e+00,-8.896808e-02,-2.182864e+00,3.295680e+00,6.240841e+00,3.290595e+00,2.186613e+00,5.795963e+00,1.039300e+01,3.875798e+00,-3.975506e+00,-1.189137e+00,-1.805283e+00,-7.465271e-01,-1.394325e-01,-2.914293e-01,-2.061924e-01,-7.663022e-01,-2.270755e-01,4.937935e-03,-2.407138e-02,-1.954553e-02,-1.230282e-03,-1.992509e-02,5.799830e-03,6.780542e-02,3.784691e-02,3.205428e-02,1.616749e-01,3.678059e+01,1.878330e-02,0,0,0,0,3.688048e+01,0,0,0
6,0.060000,1.218922e-01,-3.488458e+01,-1.199420e+01,1.384881e+00,-2.027188e+01,-1.835575e+01,-9.853910e-01,4.270918e+00,1.445071e+01,-3.522001e+00,6.833027e+00,2.095120e-01,5.134854e-01,-1.721591e+01,-2.069455e+00,-1.165291e+01,-5.787666e+00,-3.324770e+00,-2.735987e+00,-3.601521e+00,-4.674998e+00,-3.896647e+00,-3.140977e+00,-2.215726e+00,3.172840e-01,5.003428e-01,7.393708e-01,1.083574e+00,1.460776e+00,1.595168e+00,1.882876e+00,2.661082e+00,7.349458e+01,7.012519e-01,-1.117013e-02,-5.162605e-01,-1.664293e+00,-7.687318e-02,-1.093903e+00,-2.536729e+00,2.132874e+00,2.616148e+00,2.419016e+00,2.789855e+00,5.526113e+00,5.909411e+00,3.749726e+00,-2.139439e+00,-1.534969e+00,-1.862650e+00,-5.774039e-01,7.155094e-02,-5.983419e-02,1.237330e-02,-2.951176e-01,-5.057936e-02,1.289328e-01,1.167550e-01,-7.587499e-03,-3.220194e-03,-1.255722e-02,3.302980e-03,3.543303e-02,1.158069e-02,1.180275e-02,5.474842e-02,5.888389e+01,1.848217e-02,7.349458e+01,0,0,0,5.904868e+01,1.227744e-03,0,1.240264e-02
7,0.070000,1.327658e-01,-3.470353e+01,-1.375312e+01,3.971469e-01,-2.100118e+01,-2.035842e+01,2.547051e+00,6.225354e+00,1.801725e+01,1.816527e+00,1.226673e+01,2.256543e+00,7.230909e+00,-1.526586e+01,-4.088288e+00,-1.581143e+01,-6.271809e+00,-3.277210e+00,-2.669199e+00,-3.407228e+00,-4.619719e+00,-3.886723e+00,-2.899240e+00,-1.996695e+00,3.183160e-01,5.009188e-01,7.437239e-01,1.098753e+00,1.490164e+00,1.616883e+00,1.933963e+00,2.681961e+00,1.471556e+02,7.086971e-01,1.383545e-02,-4.490127e-02,-9.624733e-01,-6.709785e-01,-2.013805e+00,-2.219505e+00,3.625567e-01,4.646425e-01,2.022870e+00,6.776466e-02,2.969430e+00,9.370278e-01,2.351250e+00,6.433571e-01,-8.607186e-01,-2.618639e-01,-3.110657e-01,8.864901e-02,8.074179e-02,9.378674e-02,-6.312943e-02,1.317596e-03,3.585942e-02,1.614305e-01,7.969114e-03,-3.715968e-03,-8.921814e-03,5.502224e-04,8.266067e-03,3.481412e-03,-1.622605e-03,-1.260245e-02,5.894131e+01,9.623850e-03,1.476551e+02,0,0,0,4.437637e+01,1.841616e-03,0,1.860395e-02
8,0.080000,1.713830e-01,-3.462781e+01,-1.407333e+01,-1.938856e-01,-2.450499e+01,-2.319408e+01,2.796944e-01,3.544704e+00,1.791908e+01,-3.466105e+00,1.212701e+01,-2.033109e+00,5.941880e+00,-1.270392e+01,-1.696053e+00,-1.358230e+01,-6.313857e+00,-3.246158e+00,-2.489026e+00,-3.395421e+00,-4.657221e+00,-3.890954e+00,-3.007915e+00,-1.825585e+00,3.479305e-01,5.025918e-01,7.395501e-01,1.092044e+00,1.474078e+00,1.611019e+00,1.916677e+00,2.627270e+00,2.208416e+02,7.229052e-01,2.395332e-02,-1.604340e-01,2.449036e-03,-5.060174e-01,-2.190547e+00,-9.716088e-01,-4.779080e-01,4.942765e-02,9.622772e-01,-3.699418e+00,-2.802119e-01,-1.466336e+00,2.904395e-02,8.297547e-01,-2.938424e-01,1.232211e+00,-7.116661e-02,-1.380508e-02,9.412555e-02,1.011545e-01,-5.366349e-02,-1.922493e-02,-1.433808e-01,7.481287e-02,2.282577e-02,3.367585e-03,-3.832054e-03,-1.126041e-02,-1.550209e-03,-2.358484e-03,-2.468054e-02,-3.153248e-02,3.690041e+01,-5.000717e-03,2.214158e+02,6.138718e-03,0,6.201318e-02,7.983551e-02,1.841616e-03,0,1.860395e-02
9,0.090000,1.963567e-01,-3.471566e+01,-1.282163e+01,-2.222134e-01,-2.758027e+01,-2.310607e+01,-7.150686e-01,4.963552e+00,2.008920e+01,-9.953689e+00,8.489873e+00,-4.224413e+00,5.596320e+00,-1.139192e+01,-3.632855e+00,-1.064516e+01,-6.162188e+00,-3.231562e+00,-2.315160e+00,-3.182663e+00,-4.714966e+00,-3.944436e+00,-3.329010e+00,-1.785717e+00,3.747662e-01,4.984708e-01,7.255103e-01,1.077850e+00,1.477471e+00,1.607105e+00,1.896050e+00,2.619028e+00,2.210330e+02,7.020592e-01,7.512745e-03,-3.257088e-01,3.705704e-01,-3.159425e-02,-1.306681e+00,4.155540e-03,-1.296923e+00,1.170344e+00,8.458509e-01,-4.460539e+00,-1.580448e+00,-8.746945e-01,-1.718636e+00,-7.830113e-01,-3.984500e-01,1.648539e+00,2.209940e-02,-4.693291e-02,4.234691e-02,2.640152e-02,-1.051646e-01,6.557965e-03,-2.132040e-01,-2.282094e-02,2.227104e-02,3.759140e-03,-3.646070e-03,-1.339303e-02,-1.688540e-03,-6.752849e-03,-2.599970e-02,-2.731523e-02,1.480209e+01,-1.585598e-02,1.479212e+02,6.138718e-03,0,6.201318e-02,-4.429653e+01,0,0,0
